experiment	tube	timepoint	rootID	layerID	segmentID	length_pixel	startDiameter_pixel	endDiameter_pixel	surfaceArea_pixel^2	volume_pixel^3	children	status	statusName
me	T23	1	356	1	2	74.43117626371358	5.311900615692139	5.311900615692139	1242.0946636688025	1649.4708416875994	1	0	LIVING
me	T23	1	356	1	3	51.78802950489621	5.311900615692139	5.311900615692139	864.2297262916409	1147.6755965017367	1	0	LIVING
me	T23	1	356	1	4	34.20526275297414	5.311900615692139	6.639875888824463	642.2839673028001	963.3215891106998	1	0	LIVING
me	T23	1	356	1	5	54.589376255824725	6.639875888824463	6.639875888824463	1138.7226690713924	1890.2442963362419	1	0	LIVING
me	T23	1	356	1	6	45.0111097397076	6.639875888824463	6.639875888824463	938.9220858737366	1558.5815279977421	0	0	LIVING
me	T23	1	360	1	1	20.8806130178211	6.639875888824463	6.639875888824463	435.56510475722934	723.024558404424	0	0	LIVING
me	T23	1	364	1	1	44.721359549995796	6.639875888824463	6.639875888824463	932.8779591219244	1548.5484651377017	1	0	LIVING
me	T23	1	364	1	2	40.01249804748511	6.639875888824463	6.639875888824463	834.6521191105293	1385.4966186457134	1	0	LIVING
me	T23	1	364	1	3	50.92150822589606	6.639875888824463	6.639875888824463	1062.2117294103746	1763.2385106171398	1	0	LIVING
me	T23	1	364	1	4	34.48187929913333	6.639875888824463	6.639875888824463	719.2845993714219	1193.9901157083993	1	0	LIVING
me	T23	1	364	1	5	22.825424421026653	6.639875888824463	6.639875888824463	476.133453102525	790.3667578303925	0	0	LIVING
me	T23	1	368	1	1	34.132096331752024	2.6559500694274902	2.6559500694274902	284.79525002776654	189.10049261387823	1	0	LIVING
me	T23	1	368	1	2	30.528675044947494	2.6559500694274902	2.6559500694274902	254.7286154924539	169.1366224253314	1	0	LIVING
me	T23	1	368	1	3	11.180339887498949	2.6559500694274902	2.6559500694274902	93.28778586311437	61.94192585674444	1	0	LIVING
me	T23	1	368	1	4	21.37755832643195	2.6559500694274902	1.3279749155044556	133.84387536211534	69.08830900430411	1	0	LIVING
me	T23	1	368	1	5	23.345235059857504	1.3279749155044556	1.3279749155044556	97.39529905189805	32.334628528950894	1	0	LIVING
me	T23	1	368	1	6	29.068883707497267	1.3279749155044556	1.3279749155044556	121.27411073554741	40.262244266258165	1	0	LIVING
me	T23	1	368	1	7	31.32091952673165	1.3279749155044556	1.3279749155044556	130.6695056213789	43.38145645076293	1	0	LIVING
me	T23	1	368	1	8	33.1058907144937	1.3279749155044556	1.3279749155044556	138.1163273040631	45.853754551132475	1	0	LIVING
me	T23	1	368	1	9	42.95346318982906	1.3279749155044556	2.6559503078460693	268.83210750150914	138.81765688240864	1	0	LIVING
me	T23	1	368	1	10	36.138621999185304	2.6559503078460693	2.6559503078460693	301.53755315173953	200.21718800743596	0	0	LIVING
me	T23	1	372	1	1	35.510561809129406	10.623801231384277	10.623801231384277	1185.1882918180868	3147.8011885006213	1	0	LIVING
me	T23	1	372	1	2	55.02726596879042	10.623801231384277	7.967850685119629	1607.467579950506	3760.002820956914	1	0	LIVING
me	T23	1	372	1	3	40.85339643163099	7.967850685119629	7.967850685119629	1022.6316456890837	2037.044066869528	0	0	LIVING
me	T23	1	376	1	1	17.029386365926403	5.3119001388549805	3.9839248657226562	248.8494516806875	290.9036335586166	1	0	LIVING
me	T23	1	376	1	2	25.079872407968907	3.9839248657226562	3.9839248657226562	313.8963998672904	312.6349184080741	1	0	LIVING
me	T23	1	376	1	3	9.848857801796104	3.9839248657226562	3.9839248657226562	123.2670149392933	122.77163157731589	0	0	LIVING
me	T23	1	380	1	1	58.872744118140105	3.9839248657226562	3.9839248657226562	736.8435583875037	733.8823441536297	1	0	LIVING
me	T23	1	380	1	2	21.2602916254693	3.9839248657226562	3.9839248657226562	266.09102681252335	265.02166476526907	1	0	LIVING
me	T23	1	380	1	3	42.43819034784589	3.9839248657226562	3.9839248657226562	531.1508348359431	529.0162549857884	1	0	LIVING
me	T23	1	380	1	4	19.313207915827967	3.9839248657226562	3.9839248657226562	241.72158199419698	240.75015545312473	1	0	LIVING
